model,top1 train acc,top5 train acc,top1 val acc,top5 val acc,precision,recall,f1score
densenet201_pretrained,96.55328369140624,99.43306732177734,88.31592559814453,98.36814880371094,0.8758470977810556,0.8854098858790002,0.8790056614483522
resnet152_pretrained,96.86896514892578,99.47816467285156,87.79373168945312,98.43341827392578,0.8765859696581505,0.8817470960379497,0.8771622825273017
resnet101_pretrained,96.48886108398438,99.4717254638672,87.72846221923828,98.23760223388672,0.8729957259934322,0.8797955190624412,0.8748532775704913
densenet161_pretrained,96.88185119628906,99.58124542236328,87.59791564941406,98.10704803466795,0.872646930813499,0.8747830832841547,0.8728674980392179
resnet50_pretrained,95.62556457519531,99.32354736328124,87.07572174072266,98.56397247314452,0.864251566907804,0.874101546284904,0.8673944087512938
vgg16_bn_pretrained,93.40935516357422,98.7308349609375,86.55352783203125,98.17232513427734,0.8560405951910028,0.8762740830915864,0.8621442168971385
vgg19_bn_pretrained,92.95194244384766,98.63420104980469,86.6187973022461,98.10704803466795,0.8584869641740324,0.8679616580516833,0.8614567542623908
densenet169_pretrained,95.96057891845705,99.32998657226562,86.6187973022461,98.23760223388672,0.8571236820607661,0.8660899112057914,0.8589733822599915
densenet121_pretrained,95.34854125976562,99.26556396484376,86.42298126220703,97.9112319946289,0.8571622037290975,0.8613073246142117,0.8577102912269112
vgg13_bn_pretrained,93.3642578125,98.77593231201172,85.83551025390625,97.58485412597656,0.8515671240146128,0.8571201710430524,0.853382051309347
vgg11_bn_pretrained,92.97126770019531,98.7372817993164,84.85639953613281,97.25848388671876,0.8456162545158667,0.8480217054080201,0.8455940874548318
resnet18_pretrained,94.27265167236328,98.98209381103516,84.0078353881836,96.99739074707031,0.8317580465954344,0.8482544371205999,0.8369567598664159
densenet169,84.17729949951172,96.87540435791016,72.3890380859375,91.906005859375,0.711560573495043,0.7327162086869355,0.7176435843280726
densenet161,86.04561614990234,97.39080047607422,72.1932144165039,92.49347686767578,0.707688283961106,0.7162913861524528,0.7090628475632765
densenet201,84.55740356445312,97.01714324951172,71.80156707763672,92.36292266845705,0.7060214798276069,0.7127886044148547,0.7061241617541032
resnet18,78.9911117553711,95.55470275878906,71.01828002929688,91.31854248046876,0.7009039993896753,0.7108235985940787,0.7028716469702923
densenet121,83.7520980834961,96.87540435791016,71.54047393798828,91.906005859375,0.6962540416034015,0.7094012553982209,0.6994130631492824
resnet152,63.67736434936523,89.13156127929688,58.5509147644043,84.7258529663086,0.5703702959343785,0.588382776082169,0.5727432802264678
resnet101,55.54696655273438,84.82154846191406,54.63446426391602,84.07310485839844,0.5226916451934628,0.5340829131609381,0.5197902942553149
vgg13_bn,41.36709213256836,74.76485443115234,47.71540451049805,78.8511734008789,0.4503703695422291,0.49956207856032364,0.4536775084811297
vgg16_bn,38.59683227539063,72.42623901367188,44.060054779052734,77.15404510498047,0.40850920280668296,0.46272348594450613,0.4058801393431854
resnet50,41.58613586425781,73.86934661865234,42.88511657714844,75.97911071777344,0.4055549149974659,0.43004949203454373,0.40051553258844513
vgg19_bn,26.89086532592773,59.64437866210938,32.571800231933594,63.70757293701172,0.28633340730583506,0.28774165543214897,0.26981297661455117
vgg11_bn,11.809045791625975,34.344802856445305,13.772846221923828,38.70757293701172,0.10260373492266828,0.09136248710279558,0.07845670147981104
