model,train top1 acc,train top5 acc
densenet161_pretrained,96.88185119628906,99.58124542236328
resnet152_pretrained,96.86896514892578,99.47816467285156
densenet201_pretrained,96.55328369140624,99.43306732177734
resnet101_pretrained,96.48886108398438,99.4717254638672
densenet169_pretrained,95.96057891845705,99.32998657226562
resnet50_pretrained,95.62556457519531,99.32354736328124
densenet121_pretrained,95.34854125976562,99.26556396484376
resnet18_pretrained,94.27265167236328,98.98209381103516
vgg16_bn_pretrained,93.40935516357422,98.7308349609375
vgg13_bn_pretrained,93.3642578125,98.77593231201172
vgg11_bn_pretrained,92.97126770019531,98.7372817993164
vgg19_bn_pretrained,92.95194244384766,98.63420104980469
densenet161,86.04561614990234,97.39080047607422
densenet201,84.55740356445312,97.01714324951172
densenet169,84.17729949951172,96.87540435791016
densenet121,83.7520980834961,96.87540435791016
resnet18,78.9911117553711,95.55470275878906
resnet152,63.67736434936523,89.13156127929688
resnet101,55.54696655273438,84.82154846191406
resnet50,41.58613586425781,73.86934661865234
vgg13_bn,41.36709213256836,74.76485443115234
vgg16_bn,38.59683227539063,72.42623901367188
vgg19_bn,26.89086532592773,59.64437866210938
vgg11_bn,11.809045791625975,34.344802856445305
